district,khoroo,district_khoroo,2015,2016
Багануур,1-р хороо,Багануур 1-р хороо,644,"8,643"
Багануур,2-р хороо,Багануур 2-р хороо,"7,832",670
Багануур,3-р хороо,Багануур 3-р хороо,"5,154","7,793"
Багануур,4-р хороо,Багануур 4-р хороо,"6,366","5,331"
Багануур,5-р хороо,Багануур 5-р хороо,"4,131","6,536"
Багахангай,1-р хороо,Багахангай 1-р хороо,"1,955","2,233"
Багахангай,2-р хороо,Багахангай 2-р хороо,"205,663","1,910"
Баянгол,1-р хороо,Баянгол 1-р хороо,"7,941","17,259"
Баянгол,2-р хороо,Баянгол 2-р хороо,"9,357","8,381"
Баянгол,3-р хороо,Баянгол 3-р хороо,"17,000","11,326"
Баянгол,4-р хороо,Баянгол 4-р хороо,"9,443","17,896"
Баянгол,5-р хороо,Баянгол 5-р хороо,"16,027","10,200"
Баянгол,6-р хороо,Баянгол 6-р хороо,"11,367","16,176"
Баянгол,7-р хороо,Баянгол 7-р хороо,"11,303","12,456"
Баянгол,8-р хороо,Баянгол 8-р хороо,"6,557","12,188"
Баянгол,9-р хороо,Баянгол 9-р хороо,"8,413","7,204"
Баянгол,10-р хороо,Баянгол 10-р хороо,"6,624","8,550"
Баянгол,11-р хороо,Баянгол 11-р хороо,"10,677","6,692"
Баянгол,12-р хороо,Баянгол 12-р хороо,"4,252","10,426"
Баянгол,13-р хороо,Баянгол 13-р хороо,"4,321","4,490"
Баянгол,14-р хороо,Баянгол 14-р хороо,"4,280","4,423"
Баянгол,15-р хороо,Баянгол 15-р хороо,"6,774","4,514"
Баянгол,16-р хороо,Баянгол 16-р хороо,"9,195","6,715"
Баянгол,17-р хороо,Баянгол 17-р хороо,"10,750","8,823"
Баянгол,18-р хороо,Баянгол 18-р хороо,"5,724","11,182"
Баянгол,19-р хороо,Баянгол 19-р хороо,"7,219","6,025"
Баянгол,20-р хороо,Баянгол 20-р хороо,"7,396","7,833"
Баянгол,21-р хороо,Баянгол 21-р хороо,"8,030","7,617"
Баянгол,22-р хороо,Баянгол 22-р хороо,"5,633","8,172"
Баянгол,23-р хороо,Баянгол 23-р хороо,"320,852","5,730"
Баянзүрх,1-р хороо,Баянзүрх 1-р хороо,"11,223","7,292"
Баянзүрх,26-р хороо,Баянзүрх 26-р хороо,"11,070","11,573"
Баянзүрх,2-р хороо,Баянзүрх 2-р хороо,"13,006","11,099"
Баянзүрх,27-р хороо,Баянзүрх 27-р хороо,"5,954","12,099"
Баянзүрх,3-р хороо,Баянзүрх 3-р хороо,"8,964","6,200"
Баянзүрх,28-р хороо,Баянзүрх 28-р хороо,"16,311","9,073"
Баянзүрх,4-р хороо,Баянзүрх 4-р хороо,"20,959","16,265"
Баянзүрх,5-р хороо,Баянзүрх 5-р хороо,"10,282","21,731"
Баянзүрх,6-р хороо,Баянзүрх 6-р хороо,"5,969","13,470"
Баянзүрх,7-р хороо,Баянзүрх 7-р хороо,"16,655","6,167"
Баянзүрх,8-р хороо,Баянзүрх 8-р хороо,"13,766","17,389"
Баянзүрх,9-р хороо,Баянзүрх 9-р хороо,"7,431","13,701"
Баянзүрх,10-р хороо,Баянзүрх 10-р хороо,"7,333","7,515"
Баянзүрх,11-р хороо,Баянзүрх 11-р хороо,"14,153","7,083"
Баянзүрх,12-р хороо,Баянзүрх 12-р хороо,"9,496","14,244"
Баянзүрх,13-р хороо,Баянзүрх 13-р хороо,"13,573","10,022"
Баянзүрх,14-р хороо,Баянзүрх 14-р хороо,"7,078","13,121"
Баянзүрх,15-р хороо,Баянзүрх 15-р хороо,"16,418","7,088"
Баянзүрх,16-р хороо,Баянзүрх 16-р хороо,"10,839","17,448"
Баянзүрх,17-р хороо,Баянзүрх 17-р хороо,"11,469","11,062"
Баянзүрх,18-р хороо,Баянзүрх 18-р хороо,"11,559","11,272"
Баянзүрх,19-р хороо,Баянзүрх 19-р хороо,"8,189","11,345"
Баянзүрх,20-р хороо,Баянзүрх 20-р хороо,"11,326","8,275"
Баянзүрх,21-р хороо,Баянзүрх 21-р хороо,"13,772","11,456"
Баянзүрх,22-р хороо,Баянзүрх 22-р хороо,"15,703","13,759"
Баянзүрх,23-р хороо,Баянзүрх 23-р хороо,"9,428","15,512"
Баянзүрх,24-р хороо,Баянзүрх 24-р хороо,"11,480","9,512"
Баянзүрх,25-р хороо,Баянзүрх 25-р хороо,"35,813","12,350"
Налайх,1-р хороо,Налайх 1-р хороо,"8,398","6,200"
Налайх,2-р хороо,Налайх 2-р хороо,"5,614","8,541"
Налайх,3-р хороо,Налайх 3-р хороо,"6,607","5,722"
Налайх,4-р хороо,Налайх 4-р хороо,"2,796","6,708"
Налайх,5-р хороо,Налайх 5-р хороо,"1,579","2,846"
Налайх,6-р хороо,Налайх 6-р хороо,"4,712","1,653"
Налайх,7-р хороо,Налайх 7-р хороо,"307,224","4,755"
Сонгинохайрхан,1-р хороо,Сонгинохайрхан 1-р хороо,"17,042","14,569"
Сонгинохайрхан,26-р хороо,Сонгинохайрхан 26-р хороо,"14,343","17,732"
Сонгинохайрхан,2-р хороо,Сонгинохайрхан 2-р хороо,"5,954","14,037"
Сонгинохайрхан,27-р хороо,Сонгинохайрхан 27-р хороо,"10,942","6,180"
Сонгинохайрхан,3-р хороо,Сонгинохайрхан 3-р хороо,"6,990","11,091"
Сонгинохайрхан,28-р хороо,Сонгинохайрхан 28-р хороо,"8,058","6,912"
Сонгинохайрхан,4-р хороо,Сонгинохайрхан 4-р хороо,"6,710","8,199"
Сонгинохайрхан,29-р хороо,Сонгинохайрхан 29-р хороо,"8,234","7,148"
Сонгинохайрхан,5-р хороо,Сонгинохайрхан 5-р хороо,"6,464","8,465"
Сонгинохайрхан,30-р хороо,Сонгинохайрхан 30-р хороо,"10,907","6,623"
Сонгинохайрхан,6-р хороо,Сонгинохайрхан 6-р хороо,"12,417","12,612"
Сонгинохайрхан,31-р хороо,Сонгинохайрхан 31-р хороо,"18,794","12,122"
Сонгинохайрхан,7-р хороо,Сонгинохайрхан 7-р хороо,"3,260","19,249"
Сонгинохайрхан,32-р хороо,Сонгинохайрхан 32-р хороо,"8,701","3,216"
Сонгинохайрхан,8-р хороо,Сонгинохайрхан 8-р хороо,"8,784","9,242"
Сонгинохайрхан,9-р хороо,Сонгинохайрхан 9-р хороо,"10,696","8,772"
Сонгинохайрхан,10-р хороо,Сонгинохайрхан 10-р хороо,"9,976","10,827"
Сонгинохайрхан,11-р хороо,Сонгинохайрхан 11-р хороо,"5,065","10,055"
Сонгинохайрхан,12-р хороо,Сонгинохайрхан 12-р хороо,"5,528","5,130"
Сонгинохайрхан,13-р хороо,Сонгинохайрхан 13-р хороо,"5,660","5,610"
Сонгинохайрхан,14-р хороо,Сонгинохайрхан 14-р хороо,"5,937","5,819"
Сонгинохайрхан,15-р хороо,Сонгинохайрхан 15-р хороо,"4,980","6,102"
Сонгинохайрхан,16-р хороо,Сонгинохайрхан 16-р хороо,"4,909","5,036"
Сонгинохайрхан,17-р хороо,Сонгинохайрхан 17-р хороо,"8,899","4,980"
Сонгинохайрхан,18-р хороо,Сонгинохайрхан 18-р хороо,"9,916","11,352"
Сонгинохайрхан,19-р хороо,Сонгинохайрхан 19-р хороо,"7,130","10,655"
Сонгинохайрхан,20-р хороо,Сонгинохайрхан 20-р хороо,"6,196","6,863"
Сонгинохайрхан,21-р хороо,Сонгинохайрхан 21-р хороо,"19,343","6,400"
Сонгинохайрхан,22-р хороо,Сонгинохайрхан 22-р хороо,"13,281","20,093"
Сонгинохайрхан,23-р хороо,Сонгинохайрхан 23-р хороо,"13,354","13,420"
Сонгинохайрхан,24-р хороо,Сонгинохайрхан 24-р хороо,"14,009","13,613"
Сонгинохайрхан,25-р хороо,Сонгинохайрхан 25-р хороо,"137,633","13,678"
Сүхбаатар,1-р хороо,Сүхбаатар 1-р хороо,"3,917","6,407"
Сүхбаатар,2-р хороо,Сүхбаатар 2-р хороо,"7,527","3,801"
Сүхбаатар,3-р хороо,Сүхбаатар 3-р хороо,"3,281","7,492"
Сүхбаатар,4-р хороо,Сүхбаатар 4-р хороо,"4,580","3,327"
Сүхбаатар,5-р хороо,Сүхбаатар 5-р хороо,"5,652","4,549"
Сүхбаатар,6-р хороо,Сүхбаатар 6-р хороо,"8,486","5,566"
Сүхбаатар,7-р хороо,Сүхбаатар 7-р хороо,"8,645","8,556"
Сүхбаатар,8-р хороо,Сүхбаатар 8-р хороо,"6,901","8,133"
Сүхбаатар,9-р хороо,Сүхбаатар 9-р хороо,"8,980","6,559"
Сүхбаатар,10-р хороо,Сүхбаатар 10-р хороо,"9,611","8,886"
Сүхбаатар,11-р хороо,Сүхбаатар 11-р хороо,"7,801","10,499"
Сүхбаатар,12-р хороо,Сүхбаатар 12-р хороо,"9,152","7,297"
Сүхбаатар,13-р хороо,Сүхбаатар 13-р хороо,"5,879","9,017"
Сүхбаатар,14-р хороо,Сүхбаатар 14-р хороо,"6,276","5,847"
Сүхбаатар,15-р хороо,Сүхбаатар 15-р хороо,"11,713","6,298"
Сүхбаатар,16-р хороо,Сүхбаатар 16-р хороо,"6,709","11,945"
Сүхбаатар,17-р хороо,Сүхбаатар 17-р хороо,"9,125","6,605"
Сүхбаатар,18-р хороо,Сүхбаатар 18-р хороо,"2,490","9,200"
Сүхбаатар,19-р хороо,Сүхбаатар 19-р хороо,"3,935","2,438"
Сүхбаатар,20-р хороо,Сүхбаатар 20-р хороо,"150,946","4,147"
Хан-Уул,1-р хороо,Хан-Уул 1-р хороо,"10,549","9,448"
Хан-Уул,2-р хороо,Хан-Уул 2-р хороо,"13,929","11,400"
Хан-Уул,3-р хороо,Хан-Уул 3-р хороо,"9,466","15,213"
Хан-Уул,4-р хороо,Хан-Уул 4-р хороо,"5,975","10,273"
Хан-Уул,5-р хороо,Хан-Уул 5-р хороо,"6,508","6,002"
Хан-Уул,6-р хороо,Хан-Уул 6-р хороо,"4,619","7,060"
Хан-Уул,7-р хороо,Хан-Уул 7-р хороо,"11,266","4,733"
Хан-Уул,8-р хороо,Хан-Уул 8-р хороо,"9,235","11,420"
Хан-Уул,9-р хороо,Хан-Уул 9-р хороо,"9,304","9,391"
Хан-Уул,10-р хороо,Хан-Уул 10-р хороо,"14,640","10,174"
Хан-Уул,11-р хороо,Хан-Уул 11-р хороо,"5,897","15,098"
Хан-Уул,12-р хороо,Хан-Уул 12-р хороо,"4,041","6,067"
Хан-Уул,13-р хороо,Хан-Уул 13-р хороо,"4,710","4,107"
Хан-Уул,14-р хороо,Хан-Уул 14-р хороо,"20,468","4,884"
Хан-Уул,15-р хороо,Хан-Уул 15-р хороо,"11,226","22,229"
Хан-Уул,16-р хороо,Хан-Уул 16-р хороо,"154,819","11,966"
Чингэлтэй,1-р хороо,Чингэлтэй 1-р хороо,"3,268","3,928"
Чингэлтэй,2-р хороо,Чингэлтэй 2-р хороо,"5,439","3,328"
Чингэлтэй,3-р хороо,Чингэлтэй 3-р хороо,"5,030","5,605"
Чингэлтэй,4-р хороо,Чингэлтэй 4-р хороо,"4,699","4,848"
Чингэлтэй,5-р хороо,Чингэлтэй 5-р хороо,"7,424","5,319"
Чингэлтэй,6-р хороо,Чингэлтэй 6-р хороо,"12,827","7,393"
Чингэлтэй,7-р хороо,Чингэлтэй 7-р хороо,"4,546","13,048"
Чингэлтэй,8-р хороо,Чингэлтэй 8-р хороо,"7,420","4,483"
Чингэлтэй,9-р хороо,Чингэлтэй 9-р хороо,"7,905","7,569"
Чингэлтэй,10-р хороо,Чингэлтэй 10-р хороо,"6,040","8,328"
Чингэлтэй,11-р хороо,Чингэлтэй 11-р хороо,"14,691","5,958"
Чингэлтэй,12-р хороо,Чингэлтэй 12-р хороо,"8,137","15,073"
Чингэлтэй,13-р хороо,Чингэлтэй 13-р хороо,"7,948","8,361"
Чингэлтэй,14-р хороо,Чингэлтэй 14-р хороо,"8,539","8,054"
Чингэлтэй,15-р хороо,Чингэлтэй 15-р хороо,"12,614","8,583"
Чингэлтэй,16-р хороо,Чингэлтэй 16-р хороо,"14,247","12,714"
Чингэлтэй,17-р хороо,Чингэлтэй 17-р хороо,"9,336","13,798"
Чингэлтэй,18-р хороо,Чингэлтэй 18-р хороо,"10,837","9,721"
Чингэлтэй,19-р хороо,Чингэлтэй 19-р хороо,"10,837","11,903"
