location,distance_from_cc
Зайсан,5.3
21-р хороолол,8.6
13-р хороолол,2.1
15-р хороолол,3.1
19-р хороолол,2.5
Нисэх,14.5
Бусад,
Яармаг,10.7
Төмөр зам,2.1
14-р хороолол,2.7
3| 4 хороолол,4
5-р хороолол,1.7
Баянмонгол хороолол,2.6
Бага тойрог,0.75
Japan town,3.4
Баянбүрд,2
10-р хороолол,4.4
Хүннү,3.7
16-р хороолол,5
Олимп хотхон,2.7
Офицер,4.1
1-р хороолол,6.4
6-р бичил,3.8
Romana Residence,2.1
Хос-Өргөө,3.6
11-р хороолол,1.5
Хурд,2.7
Өгөөмөр захын зүүн,3.8
40| 50 мянгат,1.3
Нарны хороолол,2.7
25-р эмийн сан,3.1
Оддын хороолол,2.7
Marshall town,3.6
Алтай хотхон,3.3
Баруун 4 зам,1.6
100 айл,2.6
Их Монгол хороолол,2.8
Богд-Ар,2.8
5 шар,8.8
Москва хороолол,9.6
Орбит,11.6
Зүүн 4 зам,2
120 мянгат,2.4
River Garden,4.8
King Tower,1
220 мянгат,0.75
Сансар,2.1
Viva city,7.2
Чулуун овоо,5
Тээврийн товчоо,2
Цэлмэг хотхон,4
Olympic village,2.3
Амгалан,7.1
Нархан хотхон,2.8
Bella Vista,3.9
UB Town,1.5
Ханын материал,9.4
Sunrise,3.4
Дөлгөөн нуур,1.4
Толгойт,10.1
Улиастай,11
Сонсголон,12.8
Баянхошуу,6.2
Чингэлтэй,1.3
Zaisan luxury village,5
Хансвилл хотхон,0.75
Шувуун фабрик,23.5
Био комбинат,22.1
River stone,3.5
Хужирбулан,13.5
Шар хад,8.1
Гачуурт,18.5
Гандан,2.5
Ханбүргэдэй,3.5
Нэхмэлийн шар,2.9
Найрамдал,3.5
Эрдэнэ толгой,6.7
Зурагт,2.5
