school_name,horoo,district
13-р сургууль ,13,Баянгол
19-р сургууль ,5,Баянгол
20-р сургууль,1,Баянгол
28-р сургууль ,11,Баянгол
38-р сургууль,4,Баянгол
40-р сургууль,15,Баянгол
47-р сургууль,19,Баянгол
51-р сургууль,2,Баянгол
70-р сургууль,18,Баянгол
73-р сургууль,3,Баянгол
93-р сургууль ,7,Баянгол
113-р сургууль,10,Баянгол
Монгени ,18,Баянгол
Сэтгэмж ,3,Баянгол
Оюуны Ундраа ЦС,18,Баянгол
Эрдмийн Өргөө ЦС ,6,Баянгол
Эрдмийн Ундраа ЦС ,6,Баянгол
Шинэ эрин,4,Баянгол
Шинэ эхлэл,18,Баянгол
Амгалан ЦС,8,Баянзүрх
Баянзүрх ЦС,8,Баянзүрх
Шавь ЦС,5,Баянзүрх
14-р сургууль,13,Баянзүрх
21-р сургууль,6,Баянзүрх
33-р сургууль,3,Баянзүрх
44-р сургууль,16,Баянзүрх
48-р сургууль,1,Баянзүрх
53-р сургууль,16,Баянзүрх
55-р сургууль,13,Баянзүрх
79-р сургууль,,Баянзүрх
84-р сургууль,18,Баянзүрх
85-р сургууль,,Баянзүрх
87-р сургууль,,Баянзүрх
88-р сургууль,,Баянзүрх
92-р сургууль,8,Баянзүрх
97-р сургууль,4,Баянзүрх
102-р сургууль,2,Баянзүрх
111-р сургууль,25,Баянзүрх
120-р сургууль,,Баянзүрх
Тэмүүжин-Өрлөг,16,Баянзүрх
1-р сургууль,1,Сүхбаатар
2-р сургууль,7,Сүхбаатар
3-р сургууль,9,Сүхбаатар
4-р сургууль,9,Сүхбаатар
6-р сургууль,5,Сүхбаатар
11-р сургууль,5,Сүхбаатар
16-р сургууль,10,Сүхбаатар
25-р сургууль,8,Сүхбаатар
31-р сургууль,2,Сүхбаатар
35-р сургууль,,Сүхбаатар
45-р сургууль,4,Сүхбаатар
58-р сургууль,,Сүхбаатар
71-р сургууль,,Сүхбаатар
29-р сургууль,,Сүхбаатар
116-р сургууль,,Сүхбаатар
Биеийн тамир спортын дунд сургууль,,Сүхбаатар
Монгол-Оросын хамтарсан 3-р сургууль,2,Сүхбаатар
Монгол-Энэтхэгийн хамтарсан сургууль,2,Сүхбаатар
Шинжлэх ухаан технологийн ахлах сургууль,8,Сүхбаатар
МУИС Байгаль эх лицей ахлах сургууль,7,Сүхбаатар
Хөгжим бүжгийн коллеж,7,Сүхбаатар
Ажилчин залуучуудын ээлжийн сургууль,,Сүхбаатар
9-р сургууль,6,Сонгинохайрхан
12-р сургууль,18,Сонгинохайрхан
42-р сургууль,1,Сонгинохайрхан
62-р сургууль,5,Сонгинохайрхан
65-р сургууль,3,Сонгинохайрхан
67-р сургууль,11,Сонгинохайрхан
74-р сургууль,,Сонгинохайрхан
76-р сургууль,11,Сонгинохайрхан
104-р сургууль,25,Сонгинохайрхан
105-р сургууль,11,Сонгинохайрхан
106-р сургууль,,Сонгинохайрхан
107-р сургууль,,Сонгинохайрхан
ИЦ 3-р бага,,Сонгинохайрхан
121-р сургууль,,Сонгинохайрхан
122-р сургууль,,Сонгинохайрхан
123-р сургууль,,Сонгинохайрхан
Буянт-Ухаа ЦСургууль,9,Хан-Уул
10-р сургууль,12,Хан-Уул
15-р сургууль,3,Хан-Уул
18-р сургууль,3,Хан-Уул
26-р сургууль,,Хан-Уул
32-р сургууль ,11,Хан-Уул
34-р сургууль,4,Хан-Уул
41-р сургууль,5,Хан-Уул
52-р сургууль,1,Хан-Уул
Цэцээ Гүн ЦСургууль,,Хан-Уул
63-р сургууль,4,Хан-Уул
75-р сургууль ,1,Хан-Уул
110-р сургууль,,Хан-Уул
114-р сургууль ,9,Хан-Уул
115-р сургууль ,1,Хан-Уул
118-р сургууль ,8,Хан-Уул
Монгол тэмүүлэл,1,Хан-Уул
5-р сургууль,4,Чингэлтэй
17-р сургууль,12,Чингэлтэй
23-р сургууль,1,Чингэлтэй
24-р сургууль,3,Чингэлтэй
37-р сургууль,,Чингэлтэй
39-р сургууль,10,Чингэлтэй
49-р сургууль,,Чингэлтэй
50-р сургууль,6,Чингэлтэй
57-р сургууль,11,Чингэлтэй
61-р сургууль,11,Чингэлтэй
72-р сургууль,,Чингэлтэй
112-р сургууль,,Чингэлтэй
117-р сургууль,19,Чингэлтэй
Бадмаараг,16,Чингэлтэй
